SampleID	PotNum	Timepoint	Position	Inoculum	CondLin	Clone	GEO	SeedLin	INHBTR	BAC	FUN	OOM	Treat	Rep	SeqRn
29t1	29	t1	98	Live	Native	Shia21	CM	Native	NONE	YES	YES	YES	25	1	One
29t2	29	t2	98	Live	Native	Shia21	CM	Native	NONE	YES	YES	YES	25	1	One
30t0	30	t0	99	Live	Native	Shia21	CM	Native	BACOOM	NO	YES	NO	21	2	Two
30t2	30	t2	99	Live	Native	Shia21	CM	Native	BACOOM	NO	YES	NO	21	2	Two
31t0	31	t0	89	Live	Native	Shia21	CM	Native	FUNBAC	NO	NO	YES	13	1	One
31t2	31	t2	89	Live	Native	Shia21	CM	Native	FUNBAC	NO	NO	YES	13	1	One
33t0	33	t0	90	Live	Native	Shia21	CM	Native	OOM	YES	YES	NO	9	2	Two
33t1	33	t1	90	Live	Native	Shia21	CM	Native	OOM	YES	YES	NO	9	2	Two
33t2	33	t2	90	Live	Native	Shia21	CM	Native	OOM	YES	YES	NO	9	2	Two
35t0	35	t0	183	Live	Native	Shia21	CM	Native	FUNBAC	NO	NO	YES	13	2	Two
35t1	35	t1	183	Live	Native	Shia21	CM	Native	FUNBAC	NO	NO	YES	13	2	Two
35t2	35	t2	183	Live	Native	Shia21	CM	Native	FUNBAC	NO	NO	YES	13	2	Two
36t0	36	t0	11	Live	Native	Shia21	CM	Native	FUNOOM	YES	NO	NO	17	2	Two
36t1	36	t1	11	Live	Native	Shia21	CM	Native	FUNOOM	YES	NO	NO	17	2	Two
36t2	36	t2	11	Live	Native	Shia21	CM	Native	FUNOOM	YES	NO	NO	17	2	Two
37t0	37	t0	166	Live	Native	Shia21	CM	Native	FUN	YES	NO	YES	1	2	One
37t2	37	t2	166	Live	Native	Shia21	CM	Native	FUN	YES	NO	YES	1	2	One
39t0	39	t0	81	Live	Native	Shia21	CM	Native	BAC	NO	YES	YES	5	1	One
39t2	39	t2	81	Live	Native	Shia21	CM	Native	BAC	NO	YES	YES	5	1	One
40t0	40	t0	3	Live	Native	Shia21	CM	Native	OOM	YES	YES	NO	9	1	Three
40t2	40	t2	3	Live	Native	Shia21	CM	Native	OOM	YES	YES	NO	9	1	Three
43t0	43	t0	251	Live	Native	Shia21	CM	Native	FUN	YES	NO	YES	1	1	Two
43t1	43	t1	251	Live	Native	Shia21	CM	Native	FUN	YES	NO	YES	1	1	Two
43t2	43	t2	251	Live	Native	Shia21	CM	Native	FUN	YES	NO	YES	1	1	Two
44t0	44	t0	77	Live	Native	Shia21	CM	Native	BACOOM	NO	YES	NO	21	1	Three
44t2	44	t2	77	Live	Native	Shia21	CM	Native	BACOOM	NO	YES	NO	21	1	Three
45t0	45	t0	223	Live	Native	Shia21	CM	Native	FUNOOM	YES	NO	NO	17	1	Two
45t1	45	t1	223	Live	Native	Shia21	CM	Native	FUNOOM	YES	NO	NO	17	1	Two
45t2	45	t2	223	Live	Native	Shia21	CM	Native	FUNOOM	YES	NO	NO	17	1	Two
46t0	46	t0	51	Live	Native	Shia21	CM	Native	NONE	YES	YES	YES	25	2	Two
46t1	46	t1	51	Live	Native	Shia21	CM	Native	NONE	YES	YES	YES	25	2	Two
46t2	46	t2	51	Live	Native	Shia21	CM	Native	NONE	YES	YES	YES	25	2	Two
47t0	47	t0	237	Live	Native	Shia21	CM	NonNative	OOM	YES	YES	NO	10	1	One
47t1	47	t1	237	Live	Native	Shia21	CM	NonNative	OOM	YES	YES	NO	10	1	One
47t2	47	t2	237	Live	Native	Shia21	CM	NonNative	OOM	YES	YES	NO	10	1	Two
49t0	49	t0	132	Live	Native	Shia21	CM	NonNative	BACOOM	NO	YES	NO	22	2	One
49t1	49	t1	132	Live	Native	Shia21	CM	NonNative	BACOOM	NO	YES	NO	22	2	One
49t2	49	t2	132	Live	Native	Shia21	CM	NonNative	BACOOM	NO	YES	NO	22	2	One
51t0	51	t0	214	Live	Native	Shia21	CM	NonNative	BAC	NO	YES	YES	6	1	One
51t2	51	t2	214	Live	Native	Shia21	CM	NonNative	BAC	NO	YES	YES	6	1	One
52t0	52	t0	84	Live	Native	Shia21	CM	NonNative	NONE	YES	YES	YES	26	2	Two
52t2	52	t2	84	Live	Native	Shia21	CM	NonNative	NONE	YES	YES	YES	26	2	Two
54t0	54	t0	53	Live	Native	Shia21	CM	NonNative	FUN	YES	NO	YES	2	2	Two
54t2	54	t2	53	Live	Native	Shia21	CM	NonNative	FUN	YES	NO	YES	2	2	Two
55t0	55	t0	94	Live	Native	Shia21	CM	NonNative	BACOOM	NO	YES	NO	22	1	Two
55t1	55	t1	94	Live	Native	Shia21	CM	NonNative	BACOOM	NO	YES	NO	22	1	Two
55t2	55	t2	94	Live	Native	Shia21	CM	NonNative	BACOOM	NO	YES	NO	22	1	Two
56t0	56	t0	41	Live	Native	Shia21	CM	NonNative	NONE	YES	YES	YES	26	1	Three
56t2	56	t2	41	Live	Native	Shia21	CM	NonNative	NONE	YES	YES	YES	26	1	Three
58t0	58	t0	248	Live	Native	Shia21	CM	NonNative	FUNBAC	NO	NO	YES	14	2	Two
58t2	58	t2	248	Live	Native	Shia21	CM	NonNative	FUNBAC	NO	NO	YES	14	2	Two
59t0	59	t0	116	Live	Native	Shia21	CM	NonNative	FUNOOM	YES	NO	NO	18	2	Two
59t1	59	t1	116	Live	Native	Shia21	CM	NonNative	FUNOOM	YES	NO	NO	18	2	Two
59t2	59	t2	116	Live	Native	Shia21	CM	NonNative	FUNOOM	YES	NO	NO	18	2	Two
61t0	61	t0	130	Live	Native	Shia21	CM	NonNative	OOM	YES	YES	NO	10	2	Two
61t2	61	t2	130	Live	Native	Shia21	CM	NonNative	OOM	YES	YES	NO	10	2	Two
62t0	62	t0	284	Live	Native	Shia21	CM	NonNative	FUN	YES	NO	YES	2	1	Three
62t2	62	t2	284	Live	Native	Shia21	CM	NonNative	FUN	YES	NO	YES	2	1	Three
63t0	63	t0	26	Live	Native	Shia21	CM	NonNative	FUNBAC	NO	NO	YES	14	1	Three
63t2	63	t2	26	Live	Native	Shia21	CM	NonNative	FUNBAC	NO	NO	YES	14	1	Three
64t0	64	t0	149	Live	Native	Shia21	CM	NonNative	FUNOOM	YES	NO	NO	18	1	Three
64t2	64	t2	149	Live	Native	Shia21	CM	NonNative	FUNOOM	YES	NO	NO	18	1	Three
65t0	65	t0	188	Live	Native	Shia21	CM	NonNative	BACOOM	NO	YES	NO	22	3	Two
65t2	65	t2	188	Live	Native	Shia21	CM	NonNative	BACOOM	NO	YES	NO	22	3	Two
66t0	66	t0	21	Sterile	Native	Shia21	CM	Native	STERILE	YES	YES	YES	29	1	One
66t2	66	t2	21	Sterile	Native	Shia21	CM	Native	STERILE	YES	YES	YES	29	1	One
67t0	67	t0	255	Sterile	Native	Shia21	CM	NonNative	STERILE	YES	YES	YES	30	1	One
67t2	67	t2	255	Sterile	Native	Shia21	CM	NonNative	STERILE	YES	YES	YES	30	1	One
70t0	70	t0	112	Sterile	Native	Shia21	CM	NonNative	STERILE	YES	YES	YES	30	2	One
70t2	70	t2	112	Sterile	Native	Shia21	CM	NonNative	STERILE	YES	YES	YES	30	2	One
72t0	72	t0	222	Live	Native	Shia25	CM	Native	BAC	NO	YES	YES	5	3	Two
72t1	72	t1	222	Live	Native	Shia25	CM	Native	BAC	NO	YES	YES	5	3	Two
