Representative_Sequence	total	10t0	10t2	11t0	11t2	12t0	12t1	12t2	13t0	13t1	13t2	15t0	15t1	15t2	17t0	17t2	1t0	1t1	1t2	201t0	201t1	201t2	202t0	202t1	202t2	206t0	206t1	206t2	207t0	207t1	207t2	209t0	209t2	20t0	20t1	210t1	210t2	211t0	211t2	212t0	212t1	212t2	215t0	215t2	216t0	216t2	218t0	218t2	219t0	219t1	219t2	21t0	21t1	21t2	220t0	220t1	220t2	222t0	222t2	224t0	225t0	225t2	226t0	226t2	227t0	227t2	228t0	228t2	229t0	229t1	229t2	230t0	230t2	234t0	234t2	235t0	235t1	235t2	236t0	236t2	237t0	237t2	238t0	238t1	238t2	23t0	23t2	240t0	240t2	243t0	243t1	243t2	244t0	244t2	245t0	245t2	246t0	246t2	247t0	247t2	249t0	249t1	249t2	24t0	24t1	24t2	250t0	250t1	250t2	25t0	25t1	25t2	260t0	260t2	261t0	261t2	263t0	263t2	265t0	265t2	266t0	266t1	266t2	267t0	267t1	267t2	269t0	269t1	269t2	26t0	26t1	26t2	270t0	270t2	275t0	275t2	278t0	278t2	279t2	280t0	280t2	28t0	28t2	29t0	29t1	29t2	2t0	2t2	30t0	30t2	31t0	31t2	33t0	33t1	33t2	35t0	35t1	36t0	36t1	36t2	39t2	3t0	3t2	43t0	43t1	43t2	45t0	45t1	45t2	46t0	46t1	46t2	47t0	47t1	47t2	49t0	49t1	49t2	4t0	4t2	52t0	52t2	54t0	54t2	55t0	55t1	55t2	58t0	58t2	5t0	5t2	61t0	61t2	65t0	65t2	66t0	66t2	67t0	67t2	70t0	70t2	72t0	72t1	72t2	7t0	7t2	80t0	80t1	80t2	81t0	81t1	81t2	83t0	83t1	83t2	91t0	91t2	9t0	9t1	9t2
M06339_41_000000000-D6T5N_1_1101_15548_7091	3402	12	6	3	90	2	5	26	8	11	5	0	0	0	6	48	28	94	22	2	0	150	25	8	6	26	36	0	0	0	7	18	44	0	0	2	2	1	29	15	55	202	5	9	6	8	3	5	0	0	0	6	9	0	1	34	221	3	6	0	0	0	0	1	4	3	1	0	5	1	30	1	16	7	3	0	1	12	9	0	1	317	0	5	11	16	17	43	0	6	1	2	11	2	5	6	0	3	3	2	2	17	1	1	2	27	3	139	37	11	10	57	2	0	1	2	2	7	0	5	3	5	2	5	3	17	0	3	5	3	6	33	22	3	18	3	0	0	0	0	0	0	1	0	45	38	3	39	0	14	4	10	99	8	50	0	0	3	2	166	9	0	1	0	6	9	1	2	2	4	9	2	3	2	7	2	4	0	0	12	65	15	3	19	2	4	30	6	6	6	2	10	4	0	5	0	0	0	0	0	0	0	16	5	32	270	0	1	4	1	5	7	2	3	0	0	0	2	1	7
M06339_41_000000000-D6T5N_1_1101_20405_10402	85708	3006	459	2430	445	24	9	6	762	332	585	0	0	0	328	418	84	258	292	846	1072	1098	659	728	43	68	55	224	987	68	1163	31	114	1	0	32	12	557	879	217	382	32	35	398	15	1333	43	22	3213	1	3	866	418	220	88	49	89	438	248	207	621	185	37	728	8	114	58	761	103	51	90	261	282	84	20	2	12	135	9	36	922	226	33	127	105	46	406	77	278	68	9	9	62	829	405	180	31	242	87	351	138	716	49	53	30	516	43	102	167	3	4	15	46	87	253	439	27	122	191	344	89	110	26	127	1301	256	94	196	1198	2	3	1	104	251	751	383	750	1479	163	1149	172	380	1682	15	31	37	1022	619	322	142	34	463	590	1002	1104	313	478	61	30	243	856	21	315	2102	1382	191	366	347	839	27	132	58	22	13	8	17	68	856	132	470	2290	276	1141	480	84	154	77	1381	512	1370	321	777	92	2342	254	394	1281	199	285	3475	435	103	76	461	1123	113	378	103	50	19	76	321	260	205	746	77	487	91	58	119
M06339_41_000000000-D6T5N_1_1101_21226_12219	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M06339_41_000000000-D6T5N_1_1101_24861_12405	28490	140	8	288	50	32	139	57	6	64	6	0	0	0	68	17	25	241	40	201	288	59	29	142	22	6	10	3	129	419	41	14	17	0	0	103	49	622	165	63	195	68	74	132	8	27	41	9	26	0	0	24	128	0	707	211	75	102	36	3	84	32	27	18	19	12	149	141	38	34	35	16	3	176	441	0	2	15	12	49	15	14	4	63	19	57	42	25	103	175	599	20	86	7	10	12	30	16	108	40	122	335	12	81	608	50	57	11	74	22	176	122	130	17	29	163	15	124	236	178	34	1688	168	12	70	47	10	136	179	15	7	222	179	29	136	57	5	32	23	14	2613	0	36	50	44	4	166	4	455	66	10	82	119	357	103	19	94	447	871	239	5	557	12	173	333	36	126	51	17	81	76	8	6	22	5	2	58	76	45	35	17	112	61	156	163	243	166	203	9	12	5	80	33	123	101	10	16	7	20	1	13	255	206	245	7	2	149	573	154	984	869	388	126	129	22	355	77	754	263	76
M06339_41_000000000-D6T5N_1_1101_14433_18274	2478	3	40	1	18	4	0	0	3	1	20	0	0	0	0	9	5	5	5	1	5	2	2	1	12	0	1	5	2	0	2	75	4	0	0	11	35	7	3	7	1	5	1	0	1	43	1	0	0	0	0	0	0	19	0	0	0	5	1	0	0	0	1	0	125	0	0	338	0	0	3	0	6	18	196	1	0	32	1	5	1	18	1	0	0	7	3	16	1	1	0	0	0	0	9	11	0	4	0	18	7	2	0	1	0	61	1	7	4	1	1	2	1	1	0	12	0	2	4	39	2	0	53	1	0	6	1	2	46	3	0	0	0	14	3	9	1	0	2	0	8	0	5	0	0	2	59	2	0	7	1	1	2	2	8	0	1	1	2	2	29	0	0	0	5	3	0	0	1	0	0	0	1	0	40	0	0	37	1	4	0	3	11	0	0	1	220	0	83	0	2	22	53	3	0	0	0	0	57	0	6	0	1	4	4	102	3	3	0	0	0	5	0	0	198	0	1	0	0	1
M06339_41_000000000-D6T5N_1_1102_13017_12742	830	7	2	3	3	0	0	0	3	3	0	0	0	0	2	0	9	0	1	0	0	0	1	2	0	3	1	3	3	0	0	5	0	0	0	3	0	0	1	9	11	5	0	0	0	0	3	0	2	0	0	2	9	0	2	0	0	1	0	0	0	0	0	0	4	0	1	1	0	2	0	1	5	5	0	0	0	0	0	0	1	0	0	6	0	1	1	0	0	5	2	0	4	2	0	17	1	13	0	25	8	1	0	5	1	0	7	7	61	3	2	0	2	36	2	0	0	128	0	9	0	0	0	0	2	29	5	0	2	0	3	0	4	0	3	0	0	0	45	0	0	0	83	2	1	3	3	2	0	0	1	2	1	2	1	1	4	0	1	0	0	1	0	9	10	35	10	1	0	0	2	0	1	0	3	2	4	13	0	1	1	0	2	1	2	2	0	4	1	1	5	1	0	0	17	0	0	0	0	0	0	4	1	1	4	0	1	0	0	0	0	1	3	14	0	0	0	2	2	0
M06339_41_000000000-D6T5N_1_1101_16396_16807	2745	4	0	71	15	0	0	0	2	0	0	0	0	0	0	1	4	0	0	14	0	1	13	22	2	3	0	0	222	9	16	1	0	0	0	3	3	0	2	3	0	0	0	1	0	0	0	1	14	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	2	0	1	0	3	0	0	45	9	2	0	0	0	0	11	2	11	0	1	0	0	2	0	2	0	155	59	4	7	0	1	2	5	1	65	6	249	71	3	0	0	1	24	0	0	0	0	0	1	1	2	1	54	31	2	1	1	0	0	0	1	0	2	1	0	0	0	3	13	0	0	0	0	1	4	1	0	0	0	0	0	1	8	4	0	0	0	0	343	427	37	3	2	1	1	1	0	0	0	1	3	1	0	1	0	3	1	1	3	10	2	2	3	0	2	0	2	0	6	0	2	1	1	0	0	2	0	0	0	1	0	0	1	0	14	0	0	0	0	0	2	6	2	0	0	87	4	0	9	35	406	2	0	0	0	0
M06339_41_000000000-D6T5N_1_1101_18708_9748	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M06339_41_000000000-D6T5N_1_1102_3090_12919	1981	15	0	1	14	5	1	0	3	1	8	0	0	1	9	106	3	0	0	3	0	13	8	1	1	18	1	2	39	6	1	8	0	0	0	21	6	0	1	381	208	11	2	0	7	2	3	1	13	0	0	4	3	0	3	0	3	8	0	379	2	0	2	3	2	0	5	3	2	0	0	2	0	0	0	2	1	1	11	4	1	0	0	0	0	5	1	1	0	3	0	0	2	0	440	22	0	0	2	0	3	0	0	1	1	1	5	2	0	3	1	0	0	2	3	0	0	0	5	0	2	0	0	0	2	0	1	0	0	8	3	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	4	1	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	1	0	2	0	0	0	0	1	2	0	6	2	0	0	0	0	0	0	1	0	4	1	0	5	0	22	0	1	0	2	0	0	0	0	7	0	1	0	0	0	16	0	2	1	0	0	2	0	0	1	0	0	0	0	0	0
M06339_41_000000000-D6T5N_1_1102_13719_15145	1785	0	0	0	0	3	0	0	0	7	0	0	0	0	0	1	0	0	0	5	9	0	0	0	1	0	15	0	2	985	0	2	0	0	0	20	11	0	1	3	17	2	0	0	0	1	0	0	0	0	0	4	140	0	0	0	0	0	0	0	0	0	0	0	0	2	8	2	2	0	9	0	0	0	2	0	2	0	0	0	6	2	0	3	0	0	10	0	0	1	0	0	15	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	3	10	13	0	2	0	0	0	0	0	71	0	2	2	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	1	1	1	7	0	0	0	0	3	0	27	11	0	31	3	1	0	2	0	0	0	0	0	0	9	0	4	2	0	0	0	0	0	9	0	0	0	8	2	10	0	0	6	0	0	0	0	0	0	0	0	0	99	0	0	0	6	0	2	3	0	0	0	1	4	4	0	116	3	0	1	4	0	0	0	0	0
M06339_41_000000000-D6T5N_1_1101_11526_15539	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
M06339_41_000000000-D6T5N_1_1102_13693_1812	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M06339_41_000000000-D6T5N_1_1101_11876_12944	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M06339_41_000000000-D6T5N_1_1102_29494_14783	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
M06339_41_000000000-D6T5N_1_1102_8560_17019	455	1	0	2	0	2	0	0	0	0	0	0	0	0	58	0	37	0	0	0	7	0	59	92	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	4	0	25	0	0	0	0	0	0	0	0	2	0	2	1	3	0	0	0	0	0	0	1	0	1	0	0	0	0	3	2	0	0	0	0	2	0	1	0	0	0	2	0	1	0	0	2	3	0	0	0	0	0	3	0	0	0	0	0	77	0	0	0	0	0	1	0	0	9	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	5	1	0	0	0	3	0	0	0	1	0	1	0	0	0	1	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
M06339_41_000000000-D6T5N_1_1101_6983_16551	2206	14	5	1	0	2	0	7	5	0	6	0	0	0	0	13	1	0	27	24	5	2	2	3	1	0	0	0	2	0	0	54	0	0	0	0	0	1	1	10	5	8	1	0	0	0	1	5	3	0	0	0	2	0	0	0	0	406	2	0	0	0	18	1	27	0	47	1	16	6	3	4	1	7	2	2	20	209	13	18	4	10	6	12	5	2	0	1	0	1	0	0	4	1	8	12	18	151	3	10	3	5	2	31	23	37	186	5	0	1	3	7	11	2	4	0	1	3	0	27	3	0	0	0	3	17	0	2	7	8	13	1	9	1	2	18	0	16	20	0	7	0	0	1	1	12	2	0	0	3	1	0	14	10	8	1	1	3	0	1	6	0	0	3	2	1	0	1	2	10	0	0	60	12	3	7	0	119	1	0	3	29	4	20	2	1	2	9	5	5	0	14	8	1	0	2	0	0	14	1	21	0	0	0	8	5	1	0	0	0	0	6	0	17	3	0	0	0	0	0
M02127_13_000000000-D7C89_1_1102_6881_8127	4966	23	70	43	55	6	2	204	8	6	2	0	0	0	15	33	14	41	40	31	1	87	86	1	0	9	0	0	1	0	0	37	92	0	0	1	5	19	5	4	0	0	0	1	0	12	42	3	12	0	0	108	31	2	0	0	414	79	0	0	2	0	3	1	0	4	22	0	3	1	10	4	1	7	14	0	12	2	5	0	0	7	0	3	26	27	10	16	1	6	23	0	2	1	0	6	6	14	0	11	5	10	3	25	35	41	23	5	38	2	0	0	0	7	4	1	0	3	2	4	1	0	4	2	1	143	11	6	19	1	47	4	0	0	235	37	0	0	3	7	0	0	2	34	13	18	81	255	1	1	0	20	9	25	15	2	0	56	102	37	0	0	0	0	80	40	4	5	11	29	29	6	7	2	42	9	25	17	1	1	14	5	36	11	0	42	1	83	22	2	7	180	30	6	1	0	105	0	3	0	0	8	24	5	28	86	22	96	4	8	1	164	8	1	3	3	345	2	7	0
M06339_41_000000000-D6T5N_1_1102_10040_4824	42	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	8	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
M06339_41_000000000-D6T5N_1_1102_18284_17724	3901	177	3	7	30	14	3	2	62	18	0	0	0	0	0	28	41	10	2	12	5	41	151	61	0	32	8	1	9	2	3	54	3	0	0	12	0	15	7	95	39	6	8	0	1	0	8	5	8	0	0	68	22	0	6	1	4	1	2	0	4	0	13	6	9	0	21	2	29	10	13	2	3	28	6	9	3	1	48	1	25	6	16	32	1	35	0	0	4	74	4	0	39	4	16	11	43	10	82	7	78	46	1	79	10	6	56	78	1	7	11	6	28	0	91	10	3	0	12	9	7	0	2	22	40	2	43	4	6	15	9	1	33	3	77	2	0	1	7	1	0	0	1	8	51	7	8	10	3	0	14	0	12	10	12	18	14	47	4	3	5	0	1	42	132	6	23	10	6	20	3	4	18	14	8	38	3	2	1	3	27	11	19	12	140	67	9	24	1	61	3	30	13	12	0	0	0	0	0	0	0	17	3	1	281	6	16	7	5	5	6	2	2	24	0	0	0	8	14	3
M02127_13_000000000-D7C89_1_1102_13769_19207	1254	0	0	3	34	1	4	0	1	0	0	0	0	0	42	50	1	0	0	5	0	0	0	1	0	0	0	0	4	0	0	12	1	0	0	0	0	0	0	0	0	3	0	0	0	0	2	1	4	0	0	38	24	0	3	0	32	0	0	0	0	0	58	0	0	0	17	0	1	0	4	0	1	15	0	0	0	1	1	0	0	1	0	0	0	109	5	0	1	1	0	0	0	0	0	0	7	3	12	0	0	4	0	15	0	2	51	0	0	6	15	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	3	0	0	0	0	5	0	11	8	0	5	9	0	0	0	0	0	7	2	2	0	10	0	2	3	36	2	3	1	0	2	2	1	0	12	0	3	0	0	10	49	2	6	0	3	18	72	0	0	142	6	3	0	0	0	3	3	1	0	0	74	5	1	2	7	0	1	0	0	2	0	0	0	0	28	6	1	1	7	25	7	3	0	1	0	0	1	5	0	0	28	0	0
M02127_13_000000000-D7C89_1_1102_23195_19275	6172	4	52	21	11	10	1	2	9	8	7	0	0	0	0	1	2	3	1	11	4	8	6	36	0	1	0	4	3	3	1	9	9	0	0	188	111	13	37	32	16	32	1	0	4	3	212	1	9	0	0	8	41	1	3	3	246	4	1	8	12	0	5	2	0	0	21	4	2	7	0	6	1	4	0	0	28	66	125	36	10	247	0	0	0	35	2	904	7	6	8	0	2	2	1	3	0	0	148	48	25	9	2	4	7	0	29	120	1	0	0	0	9	116	2	0	1	0	1	3	0	0	4	0	11	0	16	8	0	6	1	1	15	1	6	6	0	2	7	3	0	0	6	2	0	1	107	8	8	2	274	99	2	0	5	36	16	13	12	3	0	91	1	8	2	8	1305	237	32	7	1	2	13	0	0	2	5	9	6	0	15	0	20	13	7	0	27	24	6	2	1	67	0	2	1	0	0	1	5	155	0	3	3	0	25	3	0	3	0	5	3	0	6	67	2	0	1	6	15	2
M02127_13_000000000-D7C89_1_1102_14732_19307	2053	1	0	5	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	2	1	3	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	3	0	17	25	0	12	0	1	0	0	0	7	0	0	23	27	0	0	2	0	0	0	0	11	0	7	0	0	0	1	7	54	56	4	0	0	3	0	3	0	0	1	0	3	0	2	3	2	10	146	0	0	4	46	1	1	0	2	0	3	0	0	0	4	2	2	72	193	7	10	2	0	3	0	0	3	0	401	0	140	0	0	0	3	128	0	2	13	4	0	4	0	0	0	0	5	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	17	0	1	6	0	0	0	51	75	36	0	0	0	2	6	0	4	2	0	2	0	0	0	0	0	0	0	0	99	1	0	0	18	5	4	4	6	3	0	1	2	1	0	43	0	0	0	0	0	2	0	3	2	0	1	0	44	39	0	4	5	0	15	32	0	0	0	2	0	0
M02127_13_000000000-D7C89_1_1101_13946_8478	455	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	83	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	16	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M06339_41_000000000-D6T5N_1_1102_17981_18466	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M06339_41_000000000-D6T5N_1_1101_9127_6796	2507	13	0	0	4	4	1	0	0	0	0	0	0	0	66	53	0	0	0	8	1	0	0	0	0	1	0	0	1	20	0	10	3	0	0	0	0	0	0	18	3	194	0	0	0	8	85	219	0	0	0	0	0	0	0	0	3	4	6	0	0	0	10	0	0	0	0	0	0	0	0	34	81	0	0	4	6	109	0	5	10	3	0	12	0	2	0	0	4	0	0	0	0	0	0	0	2	0	0	0	37	3	82	0	1	0	2	0	1	13	15	3	0	0	0	0	2	49	0	0	0	0	0	0	0	0	0	0	4	4	2	6	0	30	20	1	0	3	2	0	0	0	0	0	0	182	5	0	4	54	0	0	42	3	53	0	0	0	1	5	4	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	48	94	0	0	0	0	0	0	0	0	0	27	75	33	91	0	0	0	0	0	240	6	4	7	0	0	0	0	0	0	2	0	0	0	3	0	233	0	0	0
M06339_41_000000000-D6T5N_1_1102_7626_6334	756	2	0	0	0	0	1	1	1	1	2	0	0	0	0	0	0	0	3	9	1	0	0	3	1	0	0	0	0	1	0	10	0	0	0	0	1	0	0	13	3	7	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	73	1	0	0	0	4	0	4	0	32	1	4	1	0	1	0	5	2	2	3	31	4	3	1	1	1	1	0	0	0	0	2	2	0	0	0	1	6	17	2	27	4	6	1	6	0	28	8	41	87	1	0	0	1	2	0	2	0	0	0	7	2	12	3	0	0	0	1	4	2	5	4	0	2	0	12	0	1	9	0	0	13	0	11	0	0	0	0	0	3	0	0	2	2	0	16	9	0	1	1	2	0	1	0	0	0	1	2	0	0	1	1	14	1	2	10	7	6	3	0	19	1	0	1	11	3	16	0	0	2	4	5	0	0	5	4	2	0	1	0	0	1	0	2	1	0	0	3	2	0	0	0	0	0	1	0	10	3	0	2	0	0	0
M02127_13_000000000-D7C89_1_1101_24859_19757	68	9	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	3	1	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02127_13_000000000-D7C89_1_1101_10514_19806	3657	1	9	6	7	1	0	94	1	0	2	0	0	0	1	3	0	3	4	5	2	38	4	4	11	2	3	0	2	10	2	1	7	0	0	20	6	4	12	39	75	17	0	10	12	9	11	27	1	0	0	16	32	5	19	10	73	24	0	0	1	1	3	12	4	2	5	9	3	1	3	0	2	13	5	0	0	6	0	16	0	1	0	0	1	13	3	7	2	1	0	3	2	78	0	93	1	13	13	15	13	5	19	2	3	31	28	9	87	0	0	0	16	6	4	3	1	74	14	438	0	0	26	0	0	0	0	3	13	1	3	0	15	14	0	30	0	0	37	0	44	0	8	1	0	2	90	2	12	7	1	8	3	10	405	4	1	24	12	39	3	9	0	40	19	187	7	1	0	3	1	0	5	1	18	0	2	11	0	11	6	2	18	16	8	9	0	10	3	1	4	22	57	2	0	0	0	1	1	0	5	25	20	7	2	11	25	3	2	15	19	24	0	10	5	0	441	17	3	0
